timestamp,model,modalidad,algorithm,elapsed_s,peak_ram_MB
2026-07-04T16:26:56.711795,blip,texto,Kmedoids,1.582,147.41
2026-07-04T16:26:56.713794,blip,texto,ACO,68.1586,163.42
2026-07-04T16:26:56.715795,blip,texto,PSO,9.5179,147.73
2026-07-04T16:26:56.717795,blip,texto,HCAKC,7.5805,161.72
2026-07-04T16:26:56.719795,blip,texto,KM-MILP,3.6725,153.19
2026-07-04T16:26:56.721797,blip,texto,SCK1,1.2397,154.47
2026-07-04T16:28:18.774416,blip,texto,BAT,34.3329,161.95
2026-07-04T16:28:18.785433,blip,texto,CSCLP,3.1826,152.86
2026-07-04T16:28:18.788431,blip,texto,Kmedoids,2.915,147.5
2026-07-04T16:28:18.790431,blip,texto,ACO,76.8686,163.51
2026-07-04T16:28:18.791435,blip,texto,PSO,10.4823,146.74
2026-07-04T16:28:18.793434,blip,texto,HCAKC,8.9321,162.01
2026-07-04T16:28:18.795436,blip,texto,KM-MILP,3.9997,152.48
2026-07-04T16:28:18.797434,blip,texto,SCK1,1.5247,154.62
2026-07-04T16:32:27.574018,blip,texto,BAT,153.6892,163.62
2026-07-04T16:32:27.585835,blip,texto,CSCLP,37.8613,156.52
2026-07-04T16:32:27.588334,blip,texto,Kmedoids,30.7377,151.45
2026-07-04T16:32:27.590343,blip,texto,ACO,243.7164,166.11
2026-07-04T16:32:27.592314,blip,texto,PSO,50.5817,151.15
2026-07-04T16:32:27.594323,blip,texto,HCAKC,62.5954,164.5
2026-07-04T16:32:27.594323,blip,texto,KM-MILP,76.1502,172.03
2026-07-04T16:32:27.594323,blip,texto,SCK1,20.5362,161.77
2026-07-04T16:36:42.114874,blip,texto,BAT,140.0481,165.74
2026-07-04T16:36:42.125884,blip,texto,CSCLP,17.2845,156.07
2026-07-04T16:36:42.127889,blip,texto,Kmedoids,16.6156,151.28
2026-07-04T16:36:42.129888,blip,texto,ACO,249.2456,167.73
2026-07-04T16:36:42.131889,blip,texto,PSO,45.0979,151.86
2026-07-04T16:36:42.133885,blip,texto,HCAKC,20.4915,164.2
2026-07-04T16:36:42.135879,blip,texto,KM-MILP,21.8411,160.23
2026-07-04T16:36:42.137891,blip,texto,SCK1,10.1319,159.83
2026-07-04T16:41:07.292331,blip,texto,BAT,157.0499,165.73
2026-07-04T16:41:07.292331,blip,texto,CSCLP,26.1411,157.93
2026-07-04T16:41:07.304978,blip,texto,Kmedoids,23.3123,152.82
2026-07-04T16:41:07.304978,blip,texto,ACO,259.8962,168.21
2026-07-04T16:41:07.304978,blip,texto,PSO,50.1931,151.6
2026-07-04T16:41:07.304978,blip,texto,HCAKC,68.4103,165.7
2026-07-04T16:41:07.304978,blip,texto,KM-MILP,61.5153,161.1
2026-07-04T16:41:07.304978,blip,texto,SCK1,16.2017,160.29
2026-07-04T16:46:41.998139,blip,texto,BAT,190.2237,165.92
2026-07-04T16:46:42.010169,blip,texto,CSCLP,14.5553,156.78
2026-07-04T16:46:42.012170,blip,texto,Kmedoids,13.6335,151.67
2026-07-04T16:46:42.015169,blip,texto,ACO,329.463,170.07
2026-07-04T16:46:42.017161,blip,texto,PSO,70.8347,151.66
2026-07-04T16:46:42.020158,blip,texto,HCAKC,75.2221,165.94
2026-07-04T16:46:42.022180,blip,texto,KM-MILP,21.3126,160.72
2026-07-04T16:46:42.024169,blip,texto,SCK1,11.8905,159.32
2026-07-04T17:00:22.826938,blip,texto,BAT,450.047,164.96
2026-07-04T17:00:22.849965,blip,texto,CSCLP,119.4114,158.19
2026-07-04T17:00:22.856969,blip,texto,Kmedoids,114.3238,153.25
2026-07-04T17:00:22.860976,blip,texto,ACO,815.6671,171.39
2026-07-04T17:00:22.866970,blip,texto,PSO,134.0824,153.31
2026-07-04T17:00:22.870967,blip,texto,HCAKC,123.9314,167.16
2026-07-04T17:00:22.875955,blip,texto,KM-MILP,147.6936,172.79
2026-07-04T17:00:22.880961,blip,texto,SCK1,32.9563,163.56
2026-07-04T17:17:17.995343,blip,texto,BAT,453.5897,165.56
2026-07-04T17:17:18.032359,blip,texto,CSCLP,32.0427,158.17
2026-07-04T17:17:18.047359,blip,texto,Kmedoids,30.2182,154.11
2026-07-04T17:17:18.052359,blip,texto,ACO,1005.7521,160.83
2026-07-04T17:17:18.056357,blip,texto,PSO,183.7273,153.52
2026-07-04T17:17:18.060385,blip,texto,HCAKC,108.5767,167.53
2026-07-04T17:17:18.071353,blip,texto,KM-MILP,44.122,160.34
2026-07-04T17:17:18.076354,blip,texto,SCK1,25.7314,161.37
2026-07-04T17:36:33.566855,blip,texto,BAT,687.8617,171.8
2026-07-04T17:36:33.600867,blip,texto,CSCLP,105.8388,162.67
2026-07-04T17:36:33.606868,blip,texto,Kmedoids,98.9249,159.11
2026-07-04T17:36:33.611864,blip,texto,ACO,1144.4109,164.98
2026-07-04T17:36:33.616885,blip,texto,PSO,247.5325,159.03
2026-07-04T17:36:33.622871,blip,texto,HCAKC,92.0737,171.18
2026-07-04T17:36:33.627873,blip,texto,KM-MILP,103.9008,170.14
2026-07-04T17:36:33.633257,blip,texto,SCK1,36.3691,167.34
2026-07-04T17:58:24.564879,blip,texto,BAT,689.5286,171.72
2026-07-04T17:58:24.626226,blip,texto,CSCLP,51.8919,163.9
2026-07-04T17:58:24.636911,blip,texto,Kmedoids,48.7123,159.33
2026-07-04T17:58:24.642519,blip,texto,ACO,1300.5118,164.89
2026-07-04T17:58:24.642519,blip,texto,PSO,230.1056,157.8
2026-07-04T17:58:24.642519,blip,texto,HCAKC,197.4938,171.36
2026-07-04T17:58:24.651640,blip,texto,KM-MILP,63.4325,168.04
2026-07-04T17:58:24.651640,blip,texto,SCK1,30.7144,165.48
2026-07-04T18:24:29.146441,blip,texto,BAT,886.2172,167.09
2026-07-04T18:24:29.188420,blip,texto,CSCLP,100.2875,156.41
2026-07-04T18:24:29.195412,blip,texto,Kmedoids,94.0205,156.41
2026-07-04T18:24:29.200424,blip,texto,ACO,1554.4486,166.85
2026-07-04T18:24:29.205402,blip,texto,PSO,291.6386,156.71
2026-07-04T18:24:29.211404,blip,texto,HCAKC,192.9458,156.27
2026-07-04T18:24:29.216412,blip,texto,KM-MILP,123.9842,156.72
2026-07-04T18:24:29.223406,blip,texto,SCK1,52.3546,157.14
2026-07-04T18:55:20.055630,blip,texto,BAT,910.569,166.88
2026-07-04T18:55:20.145633,blip,texto,CSCLP,266.6986,156.46
2026-07-04T18:55:20.151631,blip,texto,Kmedoids,256.9256,156.91
2026-07-04T18:55:20.156659,blip,texto,ACO,1838.1023,166.69
2026-07-04T18:55:20.160663,blip,texto,PSO,278.4307,157.34
2026-07-04T18:55:20.164652,blip,texto,HCAKC,318.8465,156.61
2026-07-04T18:55:20.168633,blip,texto,KM-MILP,204.6312,157.05
2026-07-04T18:55:20.173641,blip,texto,SCK1,69.6464,156.73
2026-07-04T19:26:10.538962,blip,texto,BAT,1034.6395,166.8
2026-07-04T19:26:10.661679,blip,texto,CSCLP,203.1401,156.77
2026-07-04T19:26:10.668370,blip,texto,Kmedoids,194.158,156.7
2026-07-04T19:26:10.673248,blip,texto,ACO,1825.0588,166.31
2026-07-04T19:26:10.677587,blip,texto,PSO,330.7683,156.39
2026-07-04T19:26:10.683017,blip,texto,HCAKC,297.2959,157.21
2026-07-04T19:26:10.688568,blip,texto,KM-MILP,181.0228,156.56
2026-07-04T19:26:10.693107,blip,texto,SCK1,65.464,156.61
2026-07-04T21:40:38.606814,blip,texto,BAT,489.7718,163.63
2026-07-04T21:40:38.645124,blip,texto,CSCLP,66.2518,153.32
2026-07-04T21:40:38.647125,blip,texto,Kmedoids,62.418,153.45
2026-07-04T21:40:38.647125,blip,texto,ACO,830.1479,163.09
2026-07-04T21:40:38.647125,blip,texto,PSO,209.5961,153.52
2026-07-04T21:40:38.661047,blip,texto,HCAKC,151.9235,153.97
2026-07-04T21:40:38.666038,blip,texto,KM-MILP,76.452,155.57
2026-07-04T21:40:38.668120,blip,texto,SCK1,43.124,153.66
2026-07-04T21:46:03.108269,qwen_vl,texto,BAT,58.6719,167.58
2026-07-04T21:46:03.126287,qwen_vl,texto,CSCLP,5.3194,161.36
2026-07-04T21:46:03.134287,qwen_vl,texto,Kmedoids,5.0673,153.7
2026-07-04T21:46:03.139293,qwen_vl,texto,ACO,75.6551,169.85
2026-07-04T21:46:03.145290,qwen_vl,texto,PSO,9.1427,156.15
2026-07-04T21:46:03.151288,qwen_vl,texto,HCAKC,23.2811,167.99
2026-07-04T21:46:03.155299,qwen_vl,texto,KM-MILP,8.6393,164.91
2026-07-04T21:46:03.161290,qwen_vl,texto,SCK1,4.2829,160.85
2026-07-04T21:51:48.231214,qwen_vl,texto,BAT,273.7849,171.17
2026-07-04T21:51:48.249288,qwen_vl,texto,CSCLP,8.3847,160.9
2026-07-04T21:51:48.256187,qwen_vl,texto,Kmedoids,8.0019,157.63
2026-07-04T21:51:48.263096,qwen_vl,texto,ACO,336.5547,173.84
2026-07-04T21:51:48.270188,qwen_vl,texto,PSO,21.9753,157.16
2026-07-04T21:51:48.272205,qwen_vl,texto,HCAKC,27.3635,172.61
2026-07-04T21:51:48.279203,qwen_vl,texto,KM-MILP,13.3061,165.41
2026-07-04T21:51:48.281214,qwen_vl,texto,SCK1,7.3601,165.13
2026-07-04T21:54:53.308798,qwen_vl,texto,BAT,88.001,171.6
2026-07-04T21:54:53.326938,qwen_vl,texto,CSCLP,9.4672,163.54
2026-07-04T21:54:53.334745,qwen_vl,texto,Kmedoids,8.6116,158.21
2026-07-04T21:54:53.341343,qwen_vl,texto,ACO,175.9626,172.82
2026-07-04T21:54:53.345388,qwen_vl,texto,PSO,22.6613,158.93
2026-07-04T21:54:53.349939,qwen_vl,texto,HCAKC,33.894,172.43
2026-07-04T21:54:53.349939,qwen_vl,texto,KM-MILP,13.6315,163.27
2026-07-04T21:54:53.360230,qwen_vl,texto,SCK1,8.6612,164.06
2026-07-04T22:04:25.939584,qwen_vl,texto,BAT,497.0466,187.03
2026-07-04T22:04:25.959762,qwen_vl,texto,CSCLP,99.128,179.64
2026-07-04T22:04:25.966763,qwen_vl,texto,Kmedoids,83.6221,173.91
2026-07-04T22:04:25.972766,qwen_vl,texto,ACO,563.4597,190.45
2026-07-04T22:04:25.976783,qwen_vl,texto,PSO,115.1304,173.81
2026-07-04T22:04:25.982764,qwen_vl,texto,HCAKC,318.9801,187.97
2026-07-04T22:04:25.987763,qwen_vl,texto,KM-MILP,198.4451,188.91
2026-07-04T22:04:25.992763,qwen_vl,texto,SCK1,73.52,184.57
2026-07-04T22:14:10.701301,qwen_vl,texto,BAT,412.4148,191.19
2026-07-04T22:14:10.738798,qwen_vl,texto,CSCLP,63.6039,180.96
2026-07-04T22:14:10.745792,qwen_vl,texto,Kmedoids,59.6673,176.16
2026-07-04T22:14:10.753796,qwen_vl,texto,ACO,575.9617,192.34
2026-07-04T22:14:10.760793,qwen_vl,texto,PSO,116.1645,176.16
2026-07-04T22:14:10.766803,qwen_vl,texto,HCAKC,185.3772,189.91
2026-07-04T22:14:10.772797,qwen_vl,texto,KM-MILP,78.2014,186.38
2026-07-04T22:14:10.780795,qwen_vl,texto,SCK1,49.7843,184.59
2026-07-04T22:24:21.457404,qwen_vl,texto,BAT,488.3137,188.19
2026-07-04T22:24:21.484422,qwen_vl,texto,CSCLP,117.4834,184.19
2026-07-04T22:24:21.493421,qwen_vl,texto,Kmedoids,109.1771,176.66
2026-07-04T22:24:21.502422,qwen_vl,texto,ACO,600.7078,192.14
2026-07-04T22:24:21.508427,qwen_vl,texto,PSO,133.4951,176.81
2026-07-04T22:24:21.512422,qwen_vl,texto,HCAKC,283.1028,189.82
2026-07-04T22:24:21.517426,qwen_vl,texto,KM-MILP,178.0982,192.7
2026-07-04T22:24:21.523424,qwen_vl,texto,SCK1,68.416,183.57
2026-07-04T22:36:21.364623,qwen_vl,texto,BAT,477.2063,195.57
2026-07-04T22:36:21.387638,qwen_vl,texto,CSCLP,89.3993,186.3
2026-07-04T22:36:21.392647,qwen_vl,texto,Kmedoids,89.0653,181.18
2026-07-04T22:36:21.397399,qwen_vl,texto,ACO,710.2979,199.3
2026-07-04T22:36:21.403008,qwen_vl,texto,PSO,163.9188,180.89
2026-07-04T22:36:21.408010,qwen_vl,texto,HCAKC,220.8336,194.87
2026-07-04T22:36:21.414007,qwen_vl,texto,KM-MILP,94.8133,191.11
2026-07-04T22:36:21.420005,qwen_vl,texto,SCK1,65.1482,190.2
2026-07-04T23:14:36.715934,qwen_vl,texto,BAT,2165.2522,196.2
2026-07-04T23:14:36.736499,qwen_vl,texto,CSCLP,276.9503,194.54
2026-07-04T23:14:36.741517,qwen_vl,texto,Kmedoids,262.5341,188.94
2026-07-04T23:14:36.745683,qwen_vl,texto,ACO,2286.2835,196.33
2026-07-04T23:14:36.750131,qwen_vl,texto,PSO,259.7618,189.92
2026-07-04T23:14:36.775380,qwen_vl,texto,HCAKC,1868.6734,186.26
2026-07-04T23:14:36.779361,qwen_vl,texto,KM-MILP,1693.5557,208.08
2026-07-04T23:14:36.783386,qwen_vl,texto,SCK1,122.4142,197.95
2026-07-04T23:26:05.086965,qwen_vl,texto,BAT,478.6202,197.94
2026-07-04T23:26:05.114977,qwen_vl,texto,CSCLP,131.2483,197.08
2026-07-04T23:26:05.118977,qwen_vl,texto,Kmedoids,130.4235,191.46
2026-07-04T23:26:05.121975,qwen_vl,texto,ACO,681.7285,198.12
2026-07-04T23:26:05.124975,qwen_vl,texto,PSO,248.3932,191.07
2026-07-04T23:26:05.127981,qwen_vl,texto,HCAKC,417.7146,188.1
2026-07-04T23:26:05.129990,qwen_vl,texto,KM-MILP,130.1032,202.83
2026-07-04T23:26:05.132978,qwen_vl,texto,SCK1,109.1216,199.78
2026-07-04T23:38:25.501186,qwen_vl,texto,BAT,580.3591,200.13
2026-07-04T23:38:25.515698,qwen_vl,texto,CSCLP,174.2208,199.77
2026-07-04T23:38:25.520229,qwen_vl,texto,Kmedoids,170.8051,194.98
2026-07-04T23:38:25.522773,qwen_vl,texto,ACO,734.0656,200.08
2026-07-04T23:38:25.525820,qwen_vl,texto,PSO,307.5433,194.27
2026-07-04T23:38:25.528872,qwen_vl,texto,HCAKC,322.3026,190.41
2026-07-04T23:38:25.530463,qwen_vl,texto,KM-MILP,200.8388,204.39
